line,sample,GS,SQ_Em1021,SD_Em1021,SQ_Em1022,SD_Em1022,qPCR_date,nanodrop_conc,inc
267,N09,two,5.73E-07,4.21E-07,0.000650144,0.000209539,23-Apr-18,10.3,Y
267,K04,two,3.17E-06,3.57E-07,0.005300184,0.000313348,10-May-18,2,Y
279,J03,two,7.95E-07,8.05E-07,0.002962464,0.000314976,10-May-18,3,Y
313,T12,four,9.82E-08,3.44E-09,0.000710197,0.000114466,09-Jul-18,11.5,Y
270,T08,four,0,NA,2.76E-07,3.08E-07,09-Jul-18,22.7,Y
279,I06,four,0,NA,6.29E-08,1.58E-08,09-Jul-18,19.3,Y
279,S08,four,0,NA,2.65E-07,0,09-Jul-18,23.3,Y
267,L11,three,0,NA,3.30E-07,1.14E-07,15-Jun-18,2.8,Y
267,S06,three,0,NA,2.68E-06,2.73E-06,15-Jun-18,5.7,Y
270,E02,three,0,NA,3.73E-05,1.54E-05,15-Jun-18,6,Y
270,F04,three,0,NA,3.73E-07,3.85E-07,15-Jun-18,5.3,Y
270,L02,three,0,NA,1.04E-07,NA,15-Jun-18,19.4,Y
276,J01,three,0,NA,9.43E-08,NA,15-Jun-18,4.9,Y
279,A03,three,0,NA,1.25E-05,1.19E-05,15-Jun-18,12.5,Y
279,D02,three,0,NA,1.58E-06,7.59E-07,15-Jun-18,6.5,Y
313,D05,three,0,NA,7.48E-08,1.23E-08,15-Jun-18,12.5,Y
313,D06,three,0,NA,2.36E-07,2.43E-08,15-Jun-18,7.2,Y
313,K09,three,0,NA,9.50E-07,1.09E-07,09-Jul-18,8.3,Y
267,F11,two,0,NA,3.13E-06,1.01E-05,12-Apr-18,3.7,Y
267,K04,two,0,NA,3.18E-06,3.70E-07,23-Apr-18,16.8,Y
270,D10,two,0,NA,2.72E-07,1.56E-05,12-Apr-18,4,Y
270,E05,two,0,4.35E-07,2.48E-08,9.83E-06,12-Apr-18,3.8,Y
270,F07,two,0,NA,3.81E-06,1.08E-05,12-Apr-18,3.8,Y
276,A02,two,0,NA,5.30E-07,6.12E-06,12-Apr-18,2.4,Y
276,A02,two,0,NA,3.26E-06,3.02E-07,18-Apr-18,4.3,Y
