gen,sample,loc,column,row,bench,line,type,plant,nod_diss,nod_rem,leaf,flower,fruit,date_diss,notes,shoot,root,height
III,sub,P13,P,13,three,279,exp,III-P13,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
IV,full,P13,P,13,three,279,exp,IV-P13,31,0,18,0,0,17-Jan-17,FD-genIV,0.29,0.093,3
I,sub,Q01,Q,1,three,276,exp,I-Q01,10,8,12,0,0,14-Jun-16,Wick came out,0.135,NA,4
II,sub,Q01,Q,1,three,276,exp,II-Q01,0,2,8,0,0,15-Aug-16,,0.06,NA,1.5
III,sub,Q01,Q,1,three,276,exp,III-Q01,0,11,16,0,0,02-Nov-16,,0.127,NA,2
IV,sub,Q01,Q,1,three,276,exp,IV-Q01,0,4,4,0,0,16-Jan-17,,0.015,NA,3
V,sub,Q01,Q,1,three,276,exp,V-Q01,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
I,sub,Q02,Q,2,three,279,exp,I-Q02,0,8,21,0,0,14-Jun-16,,0.435,NA,6
II,sub,Q02,Q,2,three,279,exp,II-Q02,10,13,10,0,0,15-Aug-16,,0.121,NA,3
III,sub,Q02,Q,2,three,279,exp,III-Q02,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
IV,sub,Q02,Q,2,three,279,exp,IV-Q02,0,13,13,0,0,16-Jan-17,,0.211,NA,4
V,sub,Q02,Q,2,three,279,exp,V-Q02,0,7,16,0,0,29-Mar-17,,0.22,NA,5.5
I,sub,Q03,Q,3,three,276,exp,I-Q03,NA,NA,NA,NA,NA,14-Jun-16,No germination,NA,NA,0
II,sub,Q03,Q,3,three,276,exp,II-Q03,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
III,full,Q03,Q,3,three,276,exp,III-Q03,27,0,21,0,0,02-Nov-16,FD-genIII,0.278,0.058,5
I,sub,Q04,Q,4,three,270,exp,I-Q04,0,8,11,0,0,14-Jun-16,,0.139,NA,4
II,sub,Q04,Q,4,three,270,exp,II-Q04,0,2,3,0,0,14-Aug-16,bottom root,0.012,NA,1
III,sub,Q04,Q,4,three,270,exp,III-Q04,0,10,22,0,0,02-Nov-16,,0.199,NA,7
IV,sub,Q04,Q,4,three,270,exp,IV-Q04,0,8,10,0,0,16-Jan-17,,0.072,NA,6
V,sub,Q04,Q,4,three,270,exp,V-Q04,NA,NA,NA,NA,NA,NA,"brown leaves, died",NA,NA,0.5
I,sub,Q05,Q,5,three,270,exp,I-Q05,0,4,9,0,0,14-Jun-16,,0.087,NA,3
II,sub,Q05,Q,5,three,270,exp,II-Q05,16,10,5,0,0,14-Aug-16,bottom root,0.039,NA,2.5
III,sub,Q05,Q,5,three,270,exp,III-Q05,0,13,13,0,0,02-Nov-16,,0.116,NA,6.5
IV,sub,Q05,Q,5,three,270,exp,IV-Q05,0,13,17,0,0,16-Jan-17,,0.177,NA,5
V,sub,Q05,Q,5,three,270,exp,V-Q05,NA,NA,NA,NA,NA,NA,"brown leaves, died",NA,NA,1
I,sub,Q06,Q,6,three,276,control,I-Q06,0,0,3,0,0,14-Jun-16,yellow leaves,0.013,NA,2
II,sub,Q06,Q,6,three,276,control,II-Q06,0,4,14,0,0,14-Aug-16,bottom root,0.112,NA,3
III,sub,Q06,Q,6,three,276,control,III-Q06,0,10,16,0,0,02-Nov-16,,0.242,NA,6.5
IV,sub,Q06,Q,6,three,276,control,IV-Q06,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
V,sub,Q06,Q,6,three,276,control,V-Q06,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
I,sub,Q07,Q,7,three,313,exp,I-Q07,6,10,17,0,0,14-Jun-16,,0.166,NA,4
II,sub,Q07,Q,7,three,313,exp,II-Q07,0,9,11,0,0,14-Aug-16,bottom root,0.119,NA,2
III,sub,Q07,Q,7,three,313,exp,III-Q07,0,0,1,0,0,02-Nov-16,,0.011,NA,2
IV,sub,Q07,Q,7,three,313,exp,IV-Q07,13,20,29,0,0,16-Jan-17,,0.507,NA,6
V,sub,Q07,Q,7,three,313,exp,V-Q07,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
I,sub,Q08,Q,8,three,313,exp,I-Q08,5,10,32,0,0,14-Jun-16,,0.374,NA,6
II,sub,Q08,Q,8,three,313,exp,II-Q08,10,20,19,0,0,14-Aug-16,bottom root,0.155,NA,3
III,sub,Q08,Q,8,three,313,exp,III-Q08,NA,NA,NA,NA,NA,NA,died,NA,NA,1
IV,sub,Q08,Q,8,three,313,exp,IV-Q08,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
V,sub,Q08,Q,8,three,313,exp,V-Q08,10,38,61,0,0,29-Mar-17,,0.851,NA,5
I,sub,Q09,Q,9,three,279,exp,I-Q09,10,28,26,0,0,14-Jun-16,,0.621,NA,7
II,sub,Q09,Q,9,three,279,exp,II-Q09,10,17,8,0,0,14-Aug-16,,0.109,NA,3
III,sub,Q09,Q,9,three,279,exp,III-Q09,0,9,4,0,0,02-Nov-16,,0.058,NA,3
IV,sub,Q09,Q,9,three,279,exp,IV-Q09,0,0,4,0,0,16-Jan-17,,0.037,NA,4
V,sub,Q09,Q,9,three,279,exp,V-Q09,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
I,sub,Q10,Q,10,three,313,exp,I-Q10,0,0,1,0,0,14-Jun-16,,0.01,NA,3
II,sub,Q10,Q,10,three,313,exp,II-Q10,10,14,15,0,0,14-Aug-16,,0.103,NA,2
III,sub,Q10,Q,10,three,313,exp,III-Q10,NA,NA,NA,NA,NA,NA,died,NA,NA,1
IV,sub,Q10,Q,10,three,313,exp,IV-Q10,0,11,6,0,0,16-Jan-17,,0.052,NA,3
V,sub,Q10,Q,10,three,313,exp,V-Q10,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
I,sub,Q11,Q,11,three,313,exp,I-Q11,10,19,41,0,0,14-Jun-16,,0.703,NA,7
II,sub,Q11,Q,11,three,313,exp,II-Q11,10,19,20,0,0,14-Aug-16,,0.19,NA,1
III,sub,Q11,Q,11,three,313,exp,III-Q11,0,10,9,0,0,02-Nov-16,,0.106,NA,4
IV,sub,Q11,Q,11,three,313,exp,IV-Q11,0,12,6,0,0,16-Jan-17,,0.07,NA,4
V,sub,Q11,Q,11,three,313,exp,V-Q11,10,57,28,0,0,29-Mar-17,,0.309,NA,4
I,sub,Q12,Q,12,three,279,exp,I-Q12,10,24,45,0,0,14-Jun-16,,0.902,NA,7
II,sub,Q12,Q,12,three,279,exp,II-Q12,0,8,13,0,0,14-Aug-16,bottom root,0.149,NA,3
III,sub,Q12,Q,12,three,279,exp,III-Q12,0,12,15,0,0,02-Nov-16,,0.217,NA,4.5
IV,sub,Q12,Q,12,three,279,exp,IV-Q12,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
V,sub,Q12,Q,12,three,279,exp,V-Q12,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
I,sub,Q13,Q,13,three,267,exp,I-Q13,0,0,1,0,0,14-Jun-16,yellow leaves,0.009,NA,4
II,sub,Q13,Q,13,three,267,exp,II-Q13,0,3,8,0,0,14-Aug-16,,0.055,NA,0.5
III,sub,Q13,Q,13,three,267,exp,III-Q13,9,13,25,0,0,03-Nov-16,,NA,NA,8
IV,sub,Q13,Q,13,three,267,exp,IV-Q13,10,23,29,0,0,16-Jan-17,,0.387,NA,4
V,sub,Q13,Q,13,three,267,exp,V-Q13,NA,NA,NA,NA,NA,NA,died,NA,NA,0.5
I,sub,R01,R,1,three,270,exp,I-R01,0,5,5,0,0,14-Jun-16,,0.02,NA,2
II,sub,R01,R,1,three,270,exp,II-R01,0,7,7,0,0,15-Aug-16,,0.04,NA,2
III,sub,R01,R,1,three,270,exp,III-R01,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
IV,sub,R01,R,1,three,270,exp,IV-R01,8,10,21,0,0,16-Jan-17,,0.203,NA,6
V,sub,R01,R,1,three,270,exp,V-R01,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
I,sub,R02,R,2,three,279,exp,I-R02,0,8,20,0,0,14-Jun-16,,0.372,NA,6
II,full,R02,R,2,three,279,exp,II-R02,43,0,11,0,0,14-Aug-16,FD-genII,0.117,0.052,3
I,sub,R03,R,3,three,276,exp,I-R03,0,7,6,0,0,14-Jun-16,late emerge,0.076,NA,2
II,sub,R03,R,3,three,276,exp,II-R03,0,10,6,0,0,15-Aug-16,,0.024,NA,2
III,full,R03,R,3,three,276,exp,III-R03,33,0,24,0,0,02-Nov-16,FD-genIII,0.285,0.091,5
I,sub,R04,R,4,three,267,exp,I-R04,2,10,14,5,0,14-Jun-16,clusters,0.183,NA,5
II,sub,R04,R,4,three,267,exp,II-R04,0,12,17,0,0,15-Aug-16,,0.21,NA,3.5
III,sub,R04,R,4,three,267,exp,III-R04,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
IV,sub,R04,R,4,three,267,exp,IV-R04,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
V,sub,R04,R,4,three,267,exp,V-R04,0,0,4,0,0,29-Mar-17,,0.007,NA,2
I,sub,R05,R,5,three,313,exp,I-R05,10,19,25,0,0,14-Jun-16,,0.311,NA,7
II,sub,R05,R,5,three,313,exp,II-R05,0,8,9,0,0,15-Aug-16,,0.061,NA,2.5
III,full,R05,R,5,three,313,exp,III-R05,27,0,23,0,0,02-Nov-16,FD-genIII,0.22,0.046,7
I,sub,R06,R,6,three,270,control,I-R06,0,0,4,0,0,14-Jun-16,yellow leaves,0.01,NA,3
II,sub,R06,R,6,three,270,control,II-R06,0,3,5,0,0,15-Aug-16,,0.009,NA,0.5
III,sub,R06,R,6,three,270,control,III-R06,9,10,17,0,0,02-Nov-16,,0.17,NA,5.5
IV,full,R06,R,6,three,270,control,IV-R06,28,0,6,0,0,16-Jan-17,FD-genIV,0.2492,0.099,6
I,sub,R07,R,7,three,313,exp,I-R07,6,11,21,0,0,14-Jun-16,,0.254,NA,6
II,sub,R07,R,7,three,313,exp,II-R07,0,14,12,0,0,15-Aug-16,,0.098,NA,2
III,sub,R07,R,7,three,313,exp,III-R07,NA,NA,NA,NA,NA,NA,died,NA,NA,1.5
IV,sub,R07,R,7,three,313,exp,IV-R07,10,17,17,0,0,16-Jan-17,,0.246,NA,5
V,sub,R07,R,7,three,313,exp,V-R07,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
I,sub,R08,R,8,three,313,exp,I-R08,6,14,18,0,0,14-Jun-16,,0.257,NA,7
II,sub,R08,R,8,three,313,exp,II-R08,0,12,14,0,0,15-Aug-16,,0.118,NA,3
III,sub,R08,R,8,three,313,exp,III-R08,NA,NA,NA,NA,NA,NA,died,NA,NA,0.5
IV,sub,R08,R,8,three,313,exp,IV-R08,10,32,42,0,0,16-Jan-17,,0.454,NA,5
V,sub,R08,R,8,three,313,exp,V-R08,0,5,5,0,0,29-Mar-17,,0.024,NA,2.5
I,sub,R09,R,9,three,267,control,I-R09,0,0,0,0,0,14-Jun-16,yellow leaves,0.002,NA,2
II,sub,R09,R,9,three,267,control,II-R09,10,23,19,0,0,15-Aug-16,,0.154,NA,3
III,sub,R09,R,9,three,267,control,III-R09,7,9,5,0,0,02-Nov-16,,0.075,NA,7
IV,sub,R09,R,9,three,267,control,IV-R09,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
V,sub,R09,R,9,three,267,control,V-R09,10,18,13,0,0,29-Mar-17,,0.136,NA,3.5
I,sub,R10,R,10,three,279,exp,I-R10,10,28,31,0,0,14-Jun-16,,0.7,NA,7
II,sub,R10,R,10,three,279,exp,II-R10,10,24,17,0,0,15-Aug-16,,0.192,NA,3.5
III,sub,R10,R,10,three,279,exp,III-R10,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
IV,sub,R10,R,10,three,279,exp,IV-R10,6,10,32,0,0,16-Jan-17,,0.582,NA,5
V,sub,R10,R,10,three,279,exp,V-R10,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
I,sub,R11,R,11,three,276,exp,I-R11,5,10,9,0,0,14-Jun-16,,0.098,NA,3
II,sub,R11,R,11,three,276,exp,II-R11,0,9,7,0,0,15-Aug-16,,0.077,NA,2
III,sub,R11,R,11,three,276,exp,III-R11,0,6,0,0,0,02-Nov-16,,NA,NA,6
IV,sub,R11,R,11,three,276,exp,IV-R11,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
V,sub,R11,R,11,three,276,exp,V-R11,10,12,21,0,0,29-Mar-17,,0.163,NA,2.5
I,sub,R12,R,12,three,270,exp,I-R12,4,10,10,0,0,14-Jun-16,,0.179,NA,6
II,sub,R12,R,12,three,270,exp,II-R12,0,13,7,0,0,15-Aug-16,,0.057,NA,2
III,sub,R12,R,12,three,270,exp,III-R12,0,7,13,0,0,02-Nov-16,,0.113,NA,3
IV,sub,R12,R,12,three,270,exp,IV-R12,NA,NA,NA,NA,NA,NA,died,NA,NA,2
V,sub,R12,R,12,three,270,exp,V-R12,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
I,sub,R13,R,13,three,270,exp,I-R13,10,28,9,0,0,14-Jun-16,clusters,0.135,NA,4
II,sub,R13,R,13,three,270,exp,II-R13,0,4,7,0,0,15-Aug-16,,0.016,NA,0.5
III,sub,R13,R,13,three,270,exp,III-R13,10,17,17,0,0,02-Nov-16,,0.12,NA,6.5
IV,sub,R13,R,13,three,270,exp,IV-R13,0,11,12,0,0,16-Jan-17,,0.114,NA,4
V,sub,R13,R,13,three,270,exp,V-R13,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
I,sub,S01,S,1,three,279,exp,I-S01,10,3,23,0,0,14-Jun-16,,0.487,NA,6
II,sub,S01,S,1,three,279,exp,II-S01,0,7,15,0,0,12-Aug-16,,0.166,NA,3
III,sub,S01,S,1,three,279,exp,III-S01,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
IV,sub,S01,S,1,three,279,exp,IV-S01,10,18,12,0,0,16-Jan-17,,0.235,NA,5
V,sub,S01,S,1,three,279,exp,V-S01,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
I,sub,S02,S,2,three,270,exp,I-S02,0,2,6,0,0,14-Jun-16,,0.018,NA,1
II,sub,S02,S,2,three,270,exp,II-S02,7,10,8,0,0,12-Aug-16,,0.054,NA,1
III,sub,S02,S,2,three,270,exp,III-S02,0,7,15,0,0,02-Nov-16,,0.147,NA,6.5
IV,sub,S02,S,2,three,270,exp,IV-S02,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
V,sub,S02,S,2,three,270,exp,V-S02,6,7,12,0,0,29-Mar-17,,0.091,NA,4
I,sub,S03,S,3,three,267,exp,I-S03,10,11,5,0,0,14-Jun-16,,0.117,NA,4
II,sub,S03,S,3,three,267,exp,II-S03,8,10,12,0,0,12-Aug-16,"root grew into wick, nods included below",0.142,NA,3
III,sub,S03,S,3,three,267,exp,III-S03,0,6,3,0,0,02-Nov-16,,0.006,NA,0.5
IV,sub,S03,S,3,three,267,exp,IV-S03,0,8,20,0,0,16-Jan-17,,0.308,NA,5.5
V,sub,S03,S,3,three,267,exp,V-S03,NA,NA,NA,NA,NA,NA,died,NA,NA,0.5
I,sub,S04,S,4,three,279,control,I-S04,0,0,0,0,0,14-Jun-16,yellow leaves,0.013,NA,3
II,sub,S04,S,4,three,279,control,II-S04,0,7,6,0,0,12-Aug-16,,0.046,NA,2.5
III,full,S04,S,4,three,279,control,III-S04,19,0,15,0,0,02-Nov-16,FD-genIII,0.2,0.044,5
I,sub,S05,S,5,three,313,exp,I-S05,10,5,2,0,0,14-Jun-16,,0.271,NA,6
II,sub,S05,S,5,three,313,exp,II-S05,5,10,15,0,0,12-Aug-16,,0.105,NA,2
III,sub,S05,S,5,three,313,exp,III-S05,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
IV,full,S05,S,5,three,313,exp,IV-S05,20,0,52,0,0,16-Jan-17,FD-genIV,0.563,0.084,5
I,sub,S06,S,6,three,267,exp,I-S06,10,34,10,0,0,14-Jun-16,,0.237,NA,6
II,sub,S06,S,6,three,267,exp,II-S06,0,1,7,1,1,12-Aug-16,,0.067,NA,3
III,full,S06,S,6,three,267,exp,III-S06,30,0,10,0,0,02-Nov-16,FD-genIII,0.106,0.048,3.5
I,sub,S07,S,7,three,276,exp,I-S07,10,20,11,0,0,14-Jun-16,,0.128,NA,4
II,sub,S07,S,7,three,276,exp,II-S07,0,1,3,0,0,12-Aug-16,,0.014,NA,1
III,sub,S07,S,7,three,276,exp,III-S07,0,10,10,0,0,02-Nov-16,,0.084,NA,4
IV,sub,S07,S,7,three,276,exp,IV-S07,10,18,20,0,0,16-Jan-17,,0.266,NA,5
V,sub,S07,S,7,three,276,exp,V-S07,NA,NA,NA,NA,NA,NA,died,NA,NA,0.5
I,sub,S08,S,8,three,279,exp,I-S08,10,16,24,0,0,14-Jun-16,,0.494,NA,6
II,sub,S08,S,8,three,279,exp,II-S08,0,4,9,0,0,12-Aug-16,,0.095,NA,3
III,sub,S08,S,8,three,279,exp,III-S08,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
IV,full,S08,S,8,three,279,exp,IV-S08,13,0,19,0,0,16-Jan-17,FD-genIV,0.323,0.131,4.5
I,sub,S09,S,9,three,276,exp,I-S09,10,23,12,0,0,14-Jun-16,,0.149,NA,4
II,sub,S09,S,9,three,276,exp,II-S09,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
III,sub,S09,S,9,three,276,exp,III-S09,0,7,7,0,0,02-Nov-16,,0.107,NA,5
IV,sub,S09,S,9,three,276,exp,IV-S09,0,4,6,0,0,16-Jan-17,,0.01,NA,4
V,sub,S09,S,9,three,276,exp,V-S09,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
I,sub,S10,S,10,three,270,exp,I-S10,10,20,7,0,0,14-Jun-16,,0.119,NA,6
II,sub,S10,S,10,three,270,exp,II-S10,NA,NA,NA,NA,NA,NA,died,NA,NA,1
III,sub,S10,S,10,three,270,exp,III-S10,0,11,20,0,0,02-Nov-16,,0.181,NA,7.5
IV,sub,S10,S,10,three,270,exp,IV-S10,NA,NA,NA,NA,NA,NA,died,NA,NA,2
V,sub,S10,S,10,three,270,exp,V-S10,NA,NA,NA,NA,NA,NA,"brown leaves, larva, died",NA,NA,0.5
I,sub,S11,S,11,three,267,exp,I-S11,10,44,31,7,0,14-Jun-16,,0.586,NA,6
II,sub,S11,S,11,three,267,exp,II-S11,NA,NA,10,0,0,15-Aug-16,,0.091,NA,2
III,sub,S11,S,11,three,267,exp,III-S11,0,3,12,0,0,02-Nov-16,,0.129,NA,7
IV,sub,S11,S,11,three,267,exp,IV-S11,NA,NA,NA,0,0,16-Jan-17,died,0.049,NA,6
V,sub,S11,S,11,three,267,exp,V-S11,10,10,7,0,0,29-Mar-17,yellow leaves,0.087,NA,5
I,sub,S12,S,12,three,276,exp,I-S12,10,28,12,0,0,14-Jun-16,,0.128,NA,5
II,sub,S12,S,12,three,276,exp,II-S12,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
III,sub,S12,S,12,three,276,exp,III-S12,0,6,9,0,0,02-Nov-16,,0.059,NA,7.5
IV,sub,S12,S,12,three,276,exp,IV-S12,NA,NA,NA,0,0,16-Jan-17,died,0.15,NA,7
V,sub,S12,S,12,three,276,exp,V-S12,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
I,sub,S13,S,13,three,267,control,I-S13,5,21,9,0,0,14-Jun-16,clusters,0.097,NA,3
II,full,S13,S,13,three,267,control,II-S13,43,0,13,0,0,14-Aug-16,FD-genII,0.122,0.059,2
I,sub,T01,T,1,three,267,exp,I-T01,10,55,32,0,0,14-Jun-16,,0.569,NA,7
II,sub,T01,T,1,three,267,exp,II-T01,0,6,21,0,0,12-Aug-16,,0.21,NA,3
III,sub,T01,T,1,three,267,exp,III-T01,NA,NA,NA,NA,NA,NA,died,NA,NA,4.5
IV,sub,T01,T,1,three,267,exp,IV-T01,3,10,15,0,0,12-Jan-17,,0.271,NA,6
V,sub,T01,T,1,three,267,exp,V-T01,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
I,sub,T02,T,2,three,276,exp,I-T02,10,19,10,0,0,14-Jun-16,,0.137,NA,5
II,sub,T02,T,2,three,276,exp,II-T02,0,3,5,0,0,12-Aug-16,,0.035,NA,1.5
III,sub,T02,T,2,three,276,exp,III-T02,0,3,8,0,0,01-Nov-16,,0.096,NA,6
IV,sub,T02,T,2,three,276,exp,IV-T02,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
V,sub,T02,T,2,three,276,exp,V-T02,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
I,sub,T03,T,3,three,313,exp,I-T03,10,14,17,0,0,14-Jun-16,,0.185,NA,4
II,sub,T03,T,3,three,313,exp,II-T03,5,10,10,0,0,12-Aug-16,clusters,0.088,NA,2
III,sub,T03,T,3,three,313,exp,III-T03,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
IV,sub,T03,T,3,three,313,exp,IV-T03,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
V,sub,T03,T,3,three,313,exp,V-T03,NA,NA,NA,NA,NA,NA,died,NA,NA,0.5
I,sub,T04,T,4,three,279,control,I-T04,10,41,23,0,0,14-Jun-16,,0.472,NA,6
II,sub,T04,T,4,three,279,control,II-T04,0,10,18,0,0,12-Aug-16,clusters,0.247,NA,3
III,sub,T04,T,4,three,279,control,III-T04,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
IV,sub,T04,T,4,three,279,control,IV-T04,0,9,7,0,0,12-Jan-17,,0.061,NA,2
V,sub,T04,T,4,three,279,control,V-T04,NA,NA,NA,NA,NA,NA,died,NA,NA,1
I,sub,T05,T,5,three,313,exp,I-T05,5,12,24,0,0,14-Jun-16,,0.296,NA,6
II,sub,T05,T,5,three,313,exp,II-T05,0,7,14,0,0,12-Aug-16,,0.146,NA,2.5
III,sub,T05,T,5,three,313,exp,III-T05,0,4,5,0,0,01-Nov-16,,0.007,NA,1
IV,sub,T05,T,5,three,313,exp,IV-T05,4,10,29,0,0,12-Jan-17,,0.376,NA,6
V,sub,T05,T,5,three,313,exp,V-T05,NA,NA,NA,NA,NA,NA,"died, larva",NA,NA,0.5
I,sub,T06,T,6,three,270,exp,I-T06,NA,NA,NA,NA,NA,14-Jun-16,No germination,NA,NA,0
II,sub,T06,T,6,three,270,exp,II-T06,0,3,4,0,0,12-Aug-16,,0.01,NA,0.5
III,sub,T06,T,6,three,270,exp,III-T06,0,10,16,0,0,01-Nov-16,,0.205,NA,7
IV,sub,T06,T,6,three,270,exp,IV-T06,9,10,10,0,0,12-Jan-17,,0.176,NA,3
V,sub,T06,T,6,three,270,exp,V-T06,6,19,33,0,0,29-Mar-17,,0.363,NA,6
I,sub,T07,T,7,three,313,exp,I-T07,10,66,24,0,0,14-Jun-16,,0.388,NA,8
II,sub,T07,T,7,three,313,exp,II-T07,3,10,12,0,0,12-Aug-16,,0.153,NA,2
III,sub,T07,T,7,three,313,exp,III-T07,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
IV,sub,T07,T,7,three,313,exp,IV-T07,NA,NA,NA,NA,NA,NA,died,NA,NA,0.5
V,sub,T07,T,7,three,313,exp,V-T07,NA,NA,NA,NA,NA,NA,died,NA,NA,0.5
I,sub,T08,T,8,three,270,exp,I-T08,0,5,41,0,0,14-Jun-16,,0.023,NA,1
II,sub,T08,T,8,three,270,exp,II-T08,0,4,9,0,0,12-Aug-16,,0.071,NA,2.5
III,sub,T08,T,8,three,270,exp,III-T08,0,10,13,0,0,01-Nov-16,,0.098,NA,7
IV,full,T08,T,8,three,270,exp,IV-T08,62,0,27,0,0,12-Jan-17,FD-genIV,0.298,0.076,6
I,sub,T09,T,9,three,270,exp,I-T09,0,0,2,0,0,14-Jun-16,,0.003,NA,1
II,sub,T09,T,9,three,270,exp,II-T09,7,10,11,0,0,12-Aug-16,,0.067,NA,1.5
III,sub,T09,T,9,three,270,exp,III-T09,0,7,5,0,0,01-Nov-16,,0.036,NA,5.5
IV,sub,T09,T,9,three,270,exp,IV-T09,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
V,sub,T09,T,9,three,270,exp,V-T09,6,6,31,0,0,29-Mar-17,,0.45,NA,6
I,sub,T10,T,10,three,279,exp,I-T10,10,33,17,0,0,14-Jun-16,,0.434,NA,7
II,sub,T10,T,10,three,279,exp,II-T10,0,4,5,0,0,12-Aug-16,,0.06,NA,2
III,sub,T10,T,10,three,279,exp,III-T10,0,2,5,0,0,01-Nov-16,,0.006,NA,1.5
IV,sub,T10,T,10,three,279,exp,IV-T10,0,6,22,0,0,17-Jan-17,,0.427,NA,3
V,sub,T10,T,10,three,279,exp,V-T10,10,16,22,0,0,29-Mar-17,,0.327,NA,5.5
I,sub,T11,T,11,three,276,exp,I-T11,10,25,16,0,0,14-Jun-16,,0.202,NA,5
II,sub,T11,T,11,three,276,exp,II-T11,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
III,sub,T11,T,11,three,276,exp,III-T11,0,6,18,0,0,01-Nov-16,,0.165,NA,6
IV,sub,T11,T,11,three,276,exp,IV-T11,10,13,40,0,0,12-Jan-17,,0.524,NA,4.5
V,sub,T11,T,11,three,276,exp,V-T11,6,7,19,0,0,29-Mar-17,,0.134,NA,4
I,sub,T12,T,12,three,313,exp,I-T12,10,36,23,0,0,14-Jun-16,,0.363,NA,6
II,sub,T12,T,12,three,313,exp,II-T12,4,10,21,0,0,12-Aug-16,,0.159,NA,3
III,sub,T12,T,12,three,313,exp,III-T12,NA,NA,NA,NA,NA,NA,died,NA,NA,0.5
IV,full,T12,T,12,three,313,exp,IV-T12,40,30,32,0,0,12-Jan-17,"FD-genIV, height not recorded",0.38,0.046,NA
I,sub,T13,T,13,three,279,exp,I-T13,4,10,6,0,0,14-Jun-16,,0.165,NA,6
II,sub,T13,T,13,three,279,exp,II-T13,0,5,7,0,0,12-Aug-16,,0.06,NA,2
III,sub,T13,T,13,three,279,exp,III-T13,0,1,8,0,0,01-Nov-16,,0.074,NA,4
IV,full,T13,T,13,three,279,exp,IV-T13,40,0,20,0,0,17-Jan-17,FD-genIV,0.243,0.082,5
I,sub,U01,U,1,three,270,exp,I-U01,0,5,0,0,0,14-Jun-16,,0.021,NA,1
II,sub,U01,U,1,three,270,exp,II-U01,10,11,33,0,0,12-Aug-16,,0.236,NA,2.5
III,sub,U01,U,1,three,270,exp,III-U01,0,11,21,0,0,01-Nov-16,,0.119,NA,7
IV,sub,U01,U,1,three,270,exp,IV-U01,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
V,sub,U01,U,1,three,270,exp,V-U01,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
I,sub,U02,U,2,three,267,exp,I-U02,10,6,5,0,0,14-Jun-16,,0.023,NA,4
II,full,U02,U,2,three,267,exp,II-U02,32,0,27,2,0,12-Aug-16,FD-genII,0.456,0.056,4
I,sub,U03,U,3,three,276,exp,I-U03,10,25,18,0,0,14-Jun-16,,0.268,NA,5
II,sub,U03,U,3,three,276,exp,II-U03,0,5,8,0,0,12-Aug-16,lots of dried leaves,0.085,NA,3
III,sub,U03,U,3,three,276,exp,III-U03,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
IV,full,U03,U,3,three,276,exp,IV-U03,29,0,40,0,0,12-Jan-17,,0.285,NA,6
V,sub,U03,U,3,three,276,exp,V-U03,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
I,sub,U04,U,4,three,276,exp,I-U04,10,15,17,0,0,14-Jun-16,,0.189,NA,5
II,full,U04,U,4,three,276,exp,II-U04,17,0,10,0,0,12-Aug-16,FD-genII,0.064,0.026,2
